Object Tracking Data File Thu, Feb 09, 2023 3:49 PM
X (pixels)  	Y (pixels)  
743.56	428.43
745.90	426.91
747.80	426.10
747.03	424.00
746.29	426.45
744.38	424.47
746.27	424.08
746.29	426.74
747.36	426.75
747.80	425.00
747.87	424.70
747.73	423.59
745.94	422.94
744.47	424.97
744.31	420.72
743.90	417.70
742.84	418.17
743.60	416.52
746.08	414.43
746.04	415.08
747.39	414.63
748.02	418.31
747.58	415.83
745.22	416.88
743.97	417.88
748.32	419.18
746.26	416.16
743.96	416.99
745.72	418.27
742.86	416.32
740.63	414.29
738.29	416.39
737.05	415.83
734.58	415.69
735.16	415.33
734.59	417.58
732.86	417.87
732.07	419.48
732.68	417.68
732.85	417.44
733.61	417.56
735.68	419.03
734.68	419.48
731.91	419.83
732.67	418.82
730.60	416.74
733.37	413.04
733.16	412.73
732.78	414.27
732.13	413.66
733.03	414.43
733.79	414.84
735.15	415.23
734.83	414.34
733.89	414.42
733.01	417.37
731.13	417.44
729.84	421.60
731.18	419.17
730.59	425.02
731.37	423.55
732.11	420.03
731.15	421.21
730.02	418.96
729.83	421.13
730.16	419.75
730.18	421.06
730.40	420.30
732.14	418.47
732.67	415.76
733.37	413.68
733.46	414.26
734.16	414.06
735.36	413.86
736.77	413.46
740.34	414.12
742.55	416.33
739.98	414.68
740.55	414.83
741.66	415.42
743.21	414.62
743.40	413.75
746.97	416.20
748.28	415.74
747.78	418.82
747.75	419.46
748.20	419.44
746.55	418.96
749.62	417.81
747.13	417.68
749.15	418.70
748.98	417.52
748.37	417.77
748.33	415.54
748.05	416.72
748.31	418.17
747.02	414.69
748.75	416.42
748.54	415.61
748.03	417.84
746.51	417.83
747.76	416.88
749.14	418.77
749.26	421.03
747.59	419.34
748.16	417.54
744.65	413.48
745.27	414.31
743.40	413.10
741.18	411.78
738.78	412.15
741.66	415.84
742.09	416.02
739.50	415.33
740.99	415.34
740.96	416.43
742.69	413.37
744.22	415.30
742.69	415.57
743.36	415.19
