Object Tracking Data File Thu, Feb 09, 2023 3:27 PM
X (pixels)  	Y (pixels)  
664.73	378.32
663.36	376.30
661.37	369.08
661.82	371.26
664.74	371.97
667.27	369.29
669.10	367.90
667.01	373.48
665.37	369.06
666.50	370.59
663.22	373.21
665.87	375.73
671.30	372.72
680.56	373.98
680.39	376.74
676.12	379.77
672.12	384.38
679.16	382.59
679.90	381.96
676.22	376.71
673.96	376.75
671.31	380.54
674.30	374.11
668.42	375.47
672.83	375.78
669.88	374.59
669.94	378.19
668.61	381.80
670.33	381.14
674.10	381.24
677.89	379.03
675.50	379.49
672.19	380.40
668.58	381.68
674.29	384.86
675.80	385.77
670.28	383.60
673.56	386.98
673.52	387.29
672.74	382.70
669.32	383.12
671.33	381.37
676.83	379.82
682.10	377.19
683.68	375.38
687.91	374.05
691.38	369.32
690.99	370.53
690.38	369.03
688.64	367.80
693.38	372.74
691.02	372.15
691.36	374.61
687.44	369.67
682.68	372.75
686.20	371.57
683.44	370.86
683.21	371.29
681.50	364.95
683.04	368.55
687.74	366.96
691.33	365.29
695.13	362.94
694.41	360.47
693.29	355.77
694.26	356.12
694.87	355.80
698.69	354.24
698.10	347.64
701.54	346.30
702.88	348.60
704.40	350.43
701.68	349.56
698.08	349.16
697.97	347.85
700.44	351.01
700.96	351.46
696.47	352.19
696.91	355.85
696.08	353.82
696.51	355.99
697.90	356.69
699.11	357.44
701.94	356.07
704.39	358.59
700.18	355.35
708.09	358.21
706.72	359.67
706.15	362.56
704.85	356.87
702.75	364.70
704.99	366.33
705.03	363.37
704.93	362.88
703.09	362.20
709.38	368.34
713.99	368.00
715.44	367.37
718.46	369.91
714.48	371.96
716.05	372.83
717.07	370.06
722.37	373.08
720.34	368.16
720.77	368.70
719.29	366.95
720.35	366.00
722.80	363.50
728.87	362.03
727.31	365.62
726.29	362.12
721.72	365.32
719.04	366.85
719.92	368.29
717.20	373.18
715.11	370.31
709.90	365.54
713.72	361.85
717.25	365.51
717.11	366.68
