Object Tracking Data File Thu, Feb 09, 2023 3:36 PM
X (pixels)  	Y (pixels)  
770.57	486.77
770.12	487.90
768.73	487.89
770.56	488.44
771.69	487.85
773.11	486.45
770.74	488.55
770.99	490.60
769.25	493.21
765.67	491.92
767.66	494.29
765.82	493.45
766.21	494.26
766.11	493.10
764.41	492.80
763.56	494.27
760.90	493.51
757.40	493.68
761.25	488.80
755.61	489.38
756.45	488.95
757.78	491.36
760.08	488.57
762.21	490.38
761.73	489.74
757.68	491.11
754.86	488.31
756.81	488.00
756.89	488.99
759.29	492.02
758.39	491.30
759.16	490.34
756.85	488.44
753.74	489.77
754.36	489.99
755.10	487.05
755.81	488.20
757.41	488.59
757.62	490.31
758.23	489.59
758.25	483.41
760.88	481.99
760.85	484.47
760.88	486.51
757.82	485.53
756.99	482.15
758.70	482.04
754.31	481.23
753.04	481.17
750.03	486.59
748.42	487.33
747.49	488.17
747.83	488.05
750.34	488.96
749.08	490.58
746.37	492.61
749.90	495.67
746.92	496.18
744.85	494.34
739.83	495.26
736.05	497.86
735.71	494.42
734.94	493.03
737.00	492.17
734.36	490.48
739.28	490.64
738.96	491.09
740.30	492.64
743.44	491.78
742.15	489.93
748.78	491.71
748.84	492.02
746.74	489.39
748.16	487.39
749.42	488.25
749.56	486.02
746.52	486.19
749.46	485.31
755.65	479.72
752.96	482.08
752.84	485.80
748.44	483.13
746.49	480.12
742.80	479.12
741.47	480.07
739.87	481.78
739.74	481.74
744.37	485.50
741.41	487.59
741.34	487.70
738.14	488.47
738.74	484.81
732.41	487.76
731.85	488.40
730.30	487.84
728.93	486.38
731.83	485.56
729.49	488.65
728.22	489.61
728.89	488.73
726.50	491.78
725.20	491.78
725.98	491.33
722.90	491.86
722.64	492.65
719.56	495.71
720.72	498.58
719.39	499.71
718.17	497.55
720.35	501.16
721.46	502.84
723.31	502.17
724.41	497.63
723.84	498.76
723.04	500.44
719.63	498.61
717.53	500.01
719.21	501.59
721.03	506.67
723.07	506.98
