Object Tracking Data File Thu, Feb 09, 2023 3:30 PM
X (pixels)  	Y (pixels)  
811.45	452.37
814.02	450.97
812.46	450.81
814.82	453.41
813.19	450.23
814.54	456.79
811.42	456.76
812.33	450.50
809.51	447.55
803.18	449.00
801.82	452.18
799.11	455.46
800.29	452.34
801.55	453.60
799.66	452.95
798.50	455.70
799.68	458.34
800.44	459.57
801.72	457.99
802.16	456.33
803.99	459.42
800.76	461.34
804.15	463.73
803.37	466.66
805.04	471.55
807.95	467.33
804.26	470.57
806.67	467.73
803.81	467.49
802.72	466.24
802.27	464.52
798.94	468.76
797.06	466.68
795.49	464.16
798.34	458.86
801.49	454.53
794.90	456.11
793.83	452.12
797.91	450.01
801.46	454.83
802.38	453.78
801.56	449.94
801.09	448.10
801.90	453.93
806.19	455.56
809.09	453.68
807.54	451.36
804.84	451.98
801.69	453.50
800.83	450.29
805.84	448.86
805.66	450.91
805.95	446.49
807.95	449.78
807.10	451.13
811.48	451.96
811.81	454.61
814.31	452.39
815.55	453.52
811.05	455.22
809.92	449.82
811.94	451.00
806.59	453.15
807.77	449.77
807.10	449.24
808.07	447.64
806.84	447.61
807.77	441.50
805.58	440.52
800.78	440.29
796.86	440.88
791.68	446.58
793.91	445.47
793.16	447.73
796.95	444.73
798.43	447.18
795.30	449.30
794.59	450.53
796.54	450.50
801.29	451.13
800.19	449.53
802.71	449.84
804.10	452.51
800.37	447.30
799.48	444.41
796.44	447.22
796.74	445.99
795.73	450.08
794.07	450.09
798.87	452.22
796.78	452.56
798.57	451.86
797.11	448.07
792.41	446.93
792.64	445.81
790.29	438.34
791.07	437.78
786.69	437.74
788.71	439.94
784.47	445.00
785.25	442.19
787.67	446.24
785.12	442.20
780.84	437.44
778.58	435.56
779.15	434.69
783.53	430.66
782.09	427.64
781.48	423.94
783.89	424.31
783.96	424.60
778.74	424.73
778.26	424.25
770.67	421.53
773.50	417.65
772.22	415.26
775.70	412.98
774.09	414.26
770.93	420.45
774.32	417.90
