Object Tracking Data File Thu, Feb 09, 2023 3:44 PM
X (pixels)  	Y (pixels)  
718.39	297.73
714.98	296.47
713.20	297.70
711.53	298.95
714.82	299.80
714.18	298.90
715.88	299.72
715.09	298.44
716.65	299.09
714.11	296.53
712.01	298.97
715.28	300.48
715.84	300.81
718.63	298.43
718.53	300.40
716.48	299.76
715.71	298.62
714.41	296.37
713.60	297.45
713.14	300.74
713.56	298.53
714.65	301.99
714.45	299.93
715.43	298.80
715.55	300.50
713.92	300.18
713.97	301.68
714.37	298.17
714.22	297.73
717.31	299.96
715.02	300.98
716.24	299.91
713.33	302.62
713.52	301.94
716.10	301.32
718.43	300.31
717.46	300.48
715.33	302.06
717.28	303.69
720.34	305.02
722.91	303.28
721.86	305.12
723.90	304.03
721.18	305.45
722.01	306.60
725.06	305.37
727.10	304.66
729.28	302.68
730.99	301.53
730.03	301.04
730.57	302.16
730.30	305.65
731.27	304.65
731.15	304.34
730.31	305.77
732.19	304.40
726.35	307.88
764.95	262.22
732.56	307.32
733.53	304.22
729.10	302.79
732.30	307.52
731.80	309.29
763.05	267.27
769.43	267.87
738.27	310.00
767.55	265.82
769.27	265.27
736.35	309.34
764.76	268.19
766.76	272.92
765.62	267.44
734.96	316.08
737.17	322.67
738.62	322.09
735.83	321.28
738.84	318.24
741.85	320.73
742.86	317.49
744.27	320.52
744.35	325.43
748.23	326.66
747.76	326.12
743.96	326.29
753.09	323.06
752.87	327.16
752.35	327.89
753.02	329.11
753.29	325.93
755.44	323.61
756.75	330.76
757.94	327.89
756.22	325.28
753.83	326.30
752.05	325.08
746.31	324.96
743.20	318.19
741.16	317.82
739.28	318.31
742.20	317.56
745.23	319.93
747.70	318.73
748.06	319.29
745.61	321.36
745.67	320.29
749.71	319.32
750.58	318.59
751.14	313.94
752.34	315.38
746.46	313.99
745.37	314.95
745.73	313.90
745.96	314.77
748.16	316.54
747.57	317.25
762.06	272.38
744.87	313.52
744.42	311.70
744.92	312.32
745.08	312.28
