Object Tracking Data File Thu, Feb 09, 2023 3:38 PM
X (pixels)  	Y (pixels)  
727.53	510.64
727.74	512.66
725.70	511.80
726.60	511.06
726.35	513.16
725.05	509.93
723.84	511.11
725.34	508.99
728.88	506.26
731.68	506.80
729.10	507.02
730.22	508.71
731.16	506.12
727.63	501.17
727.41	500.47
732.21	499.70
732.63	498.52
730.69	496.12
729.10	493.26
729.88	490.13
726.96	489.12
727.37	492.23
726.53	491.04
728.21	490.74
730.32	485.61
730.48	479.45
727.67	477.84
725.10	481.09
722.54	479.31
721.24	478.36
720.61	480.95
721.35	481.40
718.88	478.17
718.21	476.66
720.44	476.39
722.64	475.33
725.27	473.33
725.74	478.52
722.59	476.52
721.45	476.00
721.57	472.56
724.61	474.86
721.88	474.92
723.35	476.25
723.95	474.98
721.17	475.18
722.14	475.01
722.03	474.98
721.91	472.96
719.13	472.86
716.45	472.12
713.43	469.95
711.93	468.44
710.76	468.56
712.27	467.52
709.65	468.99
712.94	469.59
712.41	469.31
715.01	471.51
715.02	470.79
718.94	470.74
719.10	473.04
714.79	473.74
718.33	469.86
718.00	470.94
714.06	471.44
713.69	470.91
717.00	470.70
716.98	469.43
717.63	467.23
717.62	468.08
714.58	468.09
712.67	469.90
714.65	471.87
711.50	471.19
708.50	473.11
707.60	474.17
708.92	474.02
712.54	476.93
711.02	477.72
707.63	478.15
709.18	477.67
712.20	478.11
714.04	479.49
713.49	474.02
716.87	474.68
718.12	475.72
715.88	472.33
717.30	470.50
718.21	471.38
718.93	470.39
717.87	470.66
719.60	474.08
718.97	471.25
719.44	468.94
719.57	470.36
720.41	470.29
717.10	467.80
714.73	467.07
711.19	466.63
712.49	470.79
713.12	473.72
710.17	475.73
710.59	475.57
712.14	478.35
709.56	475.94
703.60	474.85
698.89	476.11
698.76	474.24
701.08	476.30
699.79	472.38
699.17	472.05
701.37	475.80
704.45	474.87
706.84	476.44
708.72	471.44
706.75	468.75
704.83	467.82
705.95	463.84
703.02	459.03
