Object Tracking Data File Thu, Feb 09, 2023 3:35 PM
X (pixels)  	Y (pixels)  
755.90	472.78
757.93	473.86
758.48	478.42
759.00	482.55
758.71	480.74
760.25	479.79
765.45	480.11
765.49	481.17
769.92	482.52
768.30	481.95
769.18	482.15
766.24	484.77
764.33	485.54
760.44	483.31
759.39	482.62
757.33	483.44
757.48	484.09
758.12	481.28
758.87	480.93
759.50	480.35
759.31	480.77
756.76	480.47
754.37	481.28
752.97	479.41
750.68	481.63
750.88	482.39
751.96	481.06
755.46	482.21
752.69	484.14
754.45	486.31
753.58	488.23
756.81	486.23
755.21	483.43
757.08	483.88
755.19	482.25
754.02	480.45
752.28	480.54
748.74	481.58
754.08	482.12
751.70	479.83
751.40	479.46
752.69	482.88
751.76	482.56
751.38	482.29
753.17	480.31
750.16	479.63
751.24	484.12
750.50	487.48
750.36	484.33
747.83	483.42
751.97	482.43
748.37	480.67
747.52	478.75
750.83	482.34
748.51	482.72
749.49	482.34
754.32	483.10
753.98	482.03
756.84	486.17
755.42	485.57
756.43	492.07
761.55	488.73
763.75	489.66
764.62	486.86
769.61	486.72
767.26	487.36
766.34	488.31
766.61	488.40
765.91	490.95
764.01	489.40
767.69	492.38
765.90	491.14
763.36	490.52
761.06	489.82
763.02	490.55
762.38	490.45
764.64	494.84
763.68	496.77
765.98	494.75
767.87	492.79
773.58	490.26
774.76	489.69
771.25	492.94
769.18	493.65
768.67	498.52
766.37	500.23
765.49	500.54
764.20	500.02
760.15	499.66
762.41	502.86
760.92	502.87
764.40	499.35
766.85	497.06
766.07	496.32
765.01	498.06
764.43	498.53
764.92	495.95
768.61	494.71
768.95	492.91
765.58	489.68
765.22	491.11
766.64	490.88
768.37	493.87
769.31	492.62
768.42	493.30
766.44	490.51
768.92	490.59
770.32	492.29
768.98	493.74
769.75	492.27
768.64	493.07
763.77	489.41
765.11	491.17
768.26	492.06
768.69	492.19
767.92	493.08
770.95	493.99
770.97	498.44
771.78	496.08
773.62	495.85
