Object Tracking Data File Thu, Feb 09, 2023 3:31 PM
X (pixels)  	Y (pixels)  
750.61	433.07
751.86	435.36
751.40	433.56
753.24	435.54
754.25	435.19
757.32	431.61
755.43	431.86
756.89	430.74
759.51	427.32
757.92	424.46
758.15	425.55
759.03	422.55
758.35	421.75
761.64	422.89
762.69	425.19
762.40	421.64
765.53	417.13
764.54	417.14
763.27	419.20
762.55	419.15
759.52	425.02
759.02	423.84
758.27	423.47
757.31	424.71
761.02	425.51
761.32	428.97
758.49	428.35
763.95	426.02
764.74	421.50
767.80	427.54
770.47	432.12
771.54	433.77
772.30	433.18
775.25	432.46
770.92	431.13
768.65	430.54
772.45	432.12
768.77	432.03
774.68	432.85
778.37	434.45
779.08	437.21
776.58	434.74
776.61	437.17
781.34	436.18
781.40	434.44
777.81	435.54
779.86	437.47
780.04	437.09
782.36	437.99
779.19	437.96
780.24	436.65
778.11	439.91
774.04	439.25
772.24	437.27
773.22	438.14
770.97	438.62
768.57	438.55
766.74	443.57
763.01	439.08
767.56	442.10
766.98	445.12
766.49	444.15
765.90	444.38
766.50	442.15
769.38	444.77
771.36	443.51
772.42	437.63
769.25	436.05
765.21	436.41
764.89	436.17
765.35	441.21
763.26	443.39
767.40	443.16
765.44	442.20
768.30	440.70
768.80	438.83
771.70	434.90
773.35	434.95
774.93	434.81
774.09	433.51
771.68	432.96
771.63	436.80
772.89	439.29
770.65	438.07
769.65	434.54
766.06	437.48
766.38	440.22
762.32	438.29
762.82	434.21
766.93	432.47
772.91	433.29
775.97	434.00
775.65	429.92
777.03	427.73
769.45	428.83
766.83	432.02
771.02	431.08
768.30	432.69
762.46	437.62
760.68	440.22
760.20	441.64
755.55	443.45
755.87	440.93
756.48	442.87
752.23	440.83
752.16	440.38
753.27	443.00
754.32	443.44
755.07	439.67
755.58	439.43
747.70	440.09
744.21	439.36
749.63	439.77
746.89	438.99
749.04	437.08
748.71	440.48
753.34	438.10
753.56	442.47
749.05	440.31
751.48	439.71
