Object Tracking Data File Thu, Feb 09, 2023 3:52 PM
X (pixels)  	Y (pixels)  
627.25	427.13
627.58	428.91
627.84	426.04
627.37	424.84
627.74	424.58
628.39	425.43
627.82	424.18
628.21	424.08
626.81	422.52
627.18	423.12
627.23	422.52
627.62	421.80
627.77	420.28
627.72	419.86
628.08	421.97
627.16	418.24
627.07	418.63
627.90	419.46
627.19	417.81
627.77	417.56
627.59	417.70
626.97	414.97
627.37	416.04
627.45	416.55
627.58	417.01
627.21	414.84
627.30	415.81
627.76	415.85
627.45	415.00
627.55	414.25
627.24	414.29
627.18	413.79
627.64	413.65
627.51	414.71
628.00	415.04
627.52	413.78
627.50	414.80
627.64	414.23
627.47	413.59
627.04	413.79
628.06	414.77
627.29	413.46
627.34	413.61
627.50	412.68
627.06	413.95
627.30	413.39
627.30	413.57
627.71	414.01
627.77	413.89
627.37	413.59
627.39	412.82
627.52	414.05
627.36	413.68
627.49	413.68
627.29	413.99
626.80	412.46
627.63	414.01
627.30	414.51
627.41	414.76
627.13	414.28
627.30	415.43
627.31	413.73
628.08	414.25
627.64	415.04
627.57	412.97
627.22	413.25
627.79	413.96
626.99	413.70
628.03	414.54
627.38	413.74
628.09	413.04
628.89	414.69
628.06	414.67
627.83	414.31
627.40	413.52
627.62	414.60
628.00	414.13
628.07	415.40
627.18	413.46
627.92	415.20
628.06	415.21
627.05	412.50
627.96	414.18
627.56	414.30
627.58	415.21
627.34	413.35
628.01	414.19
627.13	413.53
627.86	414.21
628.46	416.07
628.06	413.89
627.56	414.58
627.80	414.34
628.37	415.12
627.53	415.13
627.59	414.24
627.98	415.49
627.82	414.32
627.41	413.85
627.87	414.42
627.67	413.45
627.92	414.11
627.84	414.15
627.63	413.64
626.81	414.05
628.34	414.60
627.65	414.30
627.14	413.44
627.72	414.63
627.52	414.88
627.61	415.73
627.41	413.60
627.73	414.54
627.59	414.26
627.79	414.82
627.39	414.78
627.58	414.49
627.52	414.08
627.13	414.46
625.71	412.43
