Object Tracking Data File Thu, Feb 09, 2023 3:43 PM
X (pixels)  	Y (pixels)  
714.43	306.31
714.21	305.05
714.54	303.54
713.70	304.47
713.29	305.62
714.45	302.44
712.97	301.35
712.55	299.70
713.79	303.40
712.30	300.36
712.32	301.08
710.76	299.40
712.17	298.66
711.65	297.64
712.51	299.03
712.31	298.18
711.73	298.41
712.23	296.55
713.55	295.79
711.59	294.02
713.48	295.73
713.53	296.06
712.44	299.62
712.06	300.57
712.47	300.70
712.98	300.74
714.24	298.00
713.99	299.01
714.91	299.78
714.56	298.20
715.59	300.61
718.50	300.20
718.35	300.85
719.17	298.14
718.78	297.74
713.65	299.85
715.00	296.87
714.20	299.10
714.86	297.15
713.18	295.13
714.49	295.53
714.39	298.24
714.37	292.32
713.48	295.43
713.77	295.73
713.49	299.59
713.25	300.45
713.76	302.00
716.82	303.58
715.97	301.23
714.52	301.71
716.40	303.53
717.06	304.11
717.69	304.54
715.17	302.40
715.16	303.12
716.26	304.66
716.11	304.25
715.99	304.65
713.84	302.91
719.99	305.37
719.38	303.88
719.12	302.81
719.80	300.58
716.90	303.03
715.03	298.55
713.56	298.94
713.76	297.14
714.52	292.18
714.10	293.80
714.80	295.97
715.20	294.95
715.51	295.57
716.84	293.04
719.71	293.95
721.90	294.84
722.32	293.25
722.38	293.53
718.76	294.31
720.35	294.43
720.98	293.02
721.38	293.72
721.48	294.52
721.55	293.18
722.05	294.27
721.26	295.14
721.08	294.02
721.34	293.72
721.48	293.94
723.99	291.36
720.07	289.27
721.71	289.53
722.47	287.93
723.48	288.28
721.48	287.07
723.88	287.17
719.70	286.59
719.35	287.37
717.78	288.45
720.27	287.86
719.80	287.14
721.76	287.34
720.37	289.71
722.37	291.74
721.45	293.75
722.66	292.20
721.93	294.58
722.47	292.83
721.34	292.17
721.80	289.35
718.84	288.95
720.72	290.30
721.41	291.35
718.38	291.48
717.71	289.33
717.94	288.92
716.04	291.65
717.10	289.61
715.51	288.29
715.66	290.64
