Object Tracking Data File Thu, Feb 09, 2023 3:42 PM
X (pixels)  	Y (pixels)  
730.38	301.36
729.86	303.50
731.19	302.56
730.25	304.04
729.65	304.99
731.62	303.93
729.49	303.10
730.39	303.21
732.00	304.00
728.86	304.76
728.60	306.46
725.68	306.90
727.74	305.72
728.19	306.98
726.21	307.15
726.40	306.90
726.36	307.82
727.44	306.84
731.30	303.55
731.27	304.11
730.18	303.99
729.19	305.44
730.22	306.49
728.55	306.54
728.04	307.86
727.01	306.93
727.88	307.45
724.64	305.81
725.28	305.66
727.75	306.24
729.20	306.25
729.22	306.69
728.41	306.80
728.03	307.44
725.44	307.52
725.94	307.18
725.58	307.15
724.32	308.49
722.78	307.86
720.83	307.75
722.49	308.32
721.25	309.70
720.96	309.27
720.14	308.21
721.56	308.46
723.98	309.07
721.91	307.74
720.32	308.18
724.76	309.29
724.57	308.65
723.97	306.81
723.49	308.98
722.85	308.34
722.71	308.47
721.70	309.26
722.63	308.32
719.94	308.12
719.74	308.02
719.55	309.24
723.21	307.35
724.62	308.78
723.15	308.86
723.45	308.04
721.90	308.73
721.30	307.76
716.66	305.94
716.84	305.78
717.86	306.80
718.69	304.70
716.52	303.98
714.79	301.70
714.22	302.25
715.36	302.56
717.10	303.76
718.35	306.39
718.12	305.90
718.25	307.13
717.05	306.34
718.71	305.97
718.62	306.62
721.67	308.11
717.27	307.43
719.70	306.56
720.72	307.80
723.70	307.64
720.48	307.34
717.37	306.93
714.22	304.40
715.12	303.37
715.26	302.75
716.92	306.52
716.61	306.17
716.40	305.10
715.94	306.68
715.61	306.52
715.45	305.85
715.76	305.07
714.81	304.98
714.47	303.41
715.73	305.60
714.53	305.01
713.26	303.15
713.80	303.39
712.88	301.79
713.69	301.91
713.46	304.18
714.35	304.19
715.83	304.54
714.00	302.79
712.75	302.88
712.99	301.41
714.38	300.84
715.06	304.80
717.43	307.97
717.77	307.82
719.55	307.62
719.22	306.85
716.86	305.83
719.72	306.74
720.30	309.33
