Object Tracking Data File Thu, Feb 09, 2023 3:33 PM
X (pixels)  	Y (pixels)  
760.51	452.88
755.24	449.56
755.01	451.11
757.70	451.36
756.41	454.19
753.29	452.91
751.38	451.91
748.89	452.33
749.19	449.78
752.50	449.11
750.69	452.27
757.37	454.45
758.06	452.87
758.77	452.70
756.90	450.96
755.48	450.88
756.80	450.60
757.54	450.74
758.15	451.16
754.99	450.45
751.94	452.08
753.70	448.95
753.88	448.73
759.34	448.38
760.96	443.44
760.51	446.65
759.38	446.31
758.80	448.77
758.88	447.82
756.17	445.87
758.15	448.31
756.89	446.84
756.36	452.39
754.33	448.42
752.74	452.03
756.65	451.08
755.24	451.31
756.36	451.21
759.03	451.76
757.39	452.81
757.86	454.99
757.23	454.06
758.78	454.57
758.87	455.20
754.78	455.68
753.69	454.18
754.04	454.09
751.79	457.74
751.52	453.81
747.64	455.79
747.98	451.40
748.04	455.38
746.70	452.66
750.33	453.35
753.38	453.93
752.21	451.57
755.72	451.71
755.45	449.55
753.95	448.73
757.90	450.27
760.18	452.00
754.66	453.01
755.62	454.48
758.20	456.76
755.40	455.96
754.42	455.93
755.53	456.71
758.30	456.10
756.68	456.81
755.89	458.57
754.36	455.97
755.98	455.39
755.70	452.28
755.13	454.30
756.69	453.54
752.82	459.06
751.74	459.87
751.41	460.79
748.99	461.57
750.62	462.28
753.52	464.25
754.55	462.69
757.38	461.89
756.98	463.15
758.35	462.12
759.97	461.07
763.18	459.10
762.97	456.94
760.21	459.52
758.70	459.64
761.17	463.97
759.35	466.19
761.83	469.87
761.08	472.72
760.49	473.99
755.67	476.32
758.17	476.26
759.55	479.16
760.03	477.22
763.46	474.90
763.39	478.02
763.35	478.58
764.12	473.93
762.19	475.71
763.46	475.92
762.04	477.21
764.56	474.32
765.05	474.87
764.12	476.96
762.90	478.85
764.06	476.31
764.86	473.49
765.01	470.68
766.28	469.67
766.33	469.05
768.20	470.19
770.15	471.24
768.47	470.65
770.68	471.42
769.42	472.97
