Object Tracking Data File Thu, Feb 09, 2023 3:48 PM
X (pixels)  	Y (pixels)  
736.72	433.30
737.33	432.90
735.68	430.26
735.99	430.07
735.94	433.16
738.35	433.75
743.04	437.55
740.01	435.10
740.85	433.15
741.57	433.25
742.82	432.47
744.01	431.11
745.31	429.07
744.77	431.86
743.53	434.10
741.86	432.39
744.83	437.24
743.31	433.17
744.78	436.29
745.78	437.35
743.34	436.04
742.73	435.44
739.27	432.11
737.75	430.90
737.84	429.31
738.30	429.08
736.76	430.51
737.58	433.05
734.69	432.08
733.61	432.56
732.74	434.36
732.85	436.76
730.94	436.98
732.49	437.75
731.60	437.73
732.62	436.69
730.95	435.22
732.08	433.72
732.51	434.32
733.48	435.58
732.95	437.75
741.40	438.57
745.27	438.28
744.61	439.68
745.08	439.84
743.60	440.22
745.63	439.83
746.62	440.96
744.71	440.92
745.41	442.28
744.07	442.64
744.78	440.77
743.14	439.26
742.81	439.50
742.44	438.68
743.04	439.88
743.19	437.88
746.79	437.26
746.36	436.64
746.31	437.94
743.79	437.20
744.29	438.42
747.79	437.94
745.66	434.52
743.31	435.10
744.30	433.40
746.74	433.27
747.47	430.55
748.32	428.29
747.48	424.00
745.96	423.84
744.95	425.63
742.07	427.49
742.18	428.46
738.17	425.79
740.47	425.37
742.92	423.19
742.19	423.65
741.20	425.01
741.32	423.98
739.86	425.03
736.67	426.80
736.46	428.20
733.73	429.15
736.02	427.83
736.01	426.40
738.20	428.49
736.10	424.95
735.14	427.89
736.61	428.45
735.85	431.37
739.92	431.36
740.86	429.81
744.53	429.63
744.72	425.77
746.29	426.20
745.18	425.08
746.36	426.15
743.01	426.42
743.62	426.64
740.61	426.43
739.56	424.17
738.68	427.06
737.98	426.55
740.05	426.62
741.52	428.33
743.01	428.94
744.02	427.81
741.46	429.21
741.65	427.94
744.35	429.46
742.35	428.48
741.84	431.25
741.44	430.15
743.44	430.64
742.84	428.82
743.76	424.98
743.27	424.42
741.77	423.33
742.17	424.92
