Object Tracking Data File Thu, Feb 09, 2023 3:46 PM
X (pixels)  	Y (pixels)  
743.16	323.06
742.96	322.81
743.98	323.35
743.19	321.76
744.02	322.19
741.88	321.19
742.20	321.23
742.58	319.55
743.65	320.17
740.15	319.17
740.42	320.21
740.07	320.76
740.43	321.12
742.09	322.83
741.80	321.14
741.90	320.01
743.62	320.81
744.89	320.54
747.33	318.19
750.26	317.90
747.88	319.13
747.92	319.35
746.57	319.89
741.64	320.71
739.03	317.56
741.26	317.13
744.25	317.23
742.95	318.81
743.72	317.41
746.92	316.46
747.00	317.42
744.51	317.02
744.78	316.22
743.84	316.72
744.98	315.96
746.33	316.15
744.56	315.03
746.56	316.75
745.80	316.77
745.09	316.63
745.84	316.04
745.97	315.14
744.93	315.42
743.21	313.97
744.23	312.95
746.33	312.47
743.87	312.51
745.11	313.81
745.43	313.33
743.56	311.90
744.93	313.78
744.27	314.27
743.44	314.08
747.71	316.72
749.61	316.79
751.22	316.16
748.95	318.56
749.61	317.15
750.61	317.74
753.03	316.54
752.08	315.76
751.31	313.87
752.00	312.20
751.18	311.74
751.73	313.31
751.74	310.01
751.48	313.46
750.55	314.67
745.44	314.95
741.85	313.90
742.57	312.49
743.35	312.05
742.61	314.14
745.39	313.36
745.64	315.09
745.46	312.62
743.92	313.35
745.34	312.66
744.48	311.92
745.99	312.33
743.99	311.47
743.83	311.81
746.39	307.72
748.42	309.25
749.19	309.57
749.60	308.67
748.94	309.34
748.27	307.63
747.36	310.24
746.61	308.05
747.20	305.16
748.72	307.40
748.48	307.59
748.27	306.00
748.94	309.59
748.50	309.47
748.62	309.87
747.08	308.74
748.99	309.88
749.18	309.55
748.63	312.42
746.83	310.88
747.29	312.40
745.96	312.00
745.27	316.14
748.88	312.58
745.44	313.87
749.04	313.58
752.66	314.59
746.94	311.08
745.59	313.07
743.82	314.00
743.30	313.36
743.69	312.47
742.25	313.53
744.68	315.00
741.81	314.51
743.94	313.08
745.62	313.51
744.86	312.14
