Object Tracking Data File Thu, Feb 09, 2023 3:47 PM
X (pixels)  	Y (pixels)  
742.78	439.86
742.12	438.96
739.89	438.53
736.79	438.36
740.16	440.11
742.91	439.88
741.66	440.83
743.53	439.59
742.96	439.51
740.07	439.53
738.75	438.56
742.52	438.86
741.18	437.88
742.76	438.63
741.66	438.03
741.57	439.12
742.88	438.07
743.12	439.03
742.16	439.84
742.33	438.33
741.50	436.67
742.93	435.89
743.08	435.50
744.20	435.16
744.64	435.47
743.95	436.14
743.95	435.94
741.45	433.34
741.29	432.39
742.80	435.86
736.81	432.86
736.02	429.70
735.85	433.54
737.69	433.80
735.78	433.54
735.37	436.29
732.24	438.62
732.89	443.20
732.20	444.08
736.82	446.46
733.22	444.63
734.64	444.73
731.85	442.45
731.21	440.66
730.99	440.76
731.79	441.03
731.20	439.56
731.53	439.86
731.40	441.16
732.51	443.23
732.99	443.38
732.15	442.92
734.87	443.65
734.23	445.20
734.26	444.92
734.44	445.70
734.41	443.30
737.60	440.40
739.08	441.86
736.48	441.78
735.82	442.22
733.74	444.08
737.02	442.12
740.78	440.39
744.41	440.61
741.07	440.60
740.32	441.26
741.86	440.79
740.36	439.84
742.75	440.42
739.13	441.17
734.86	441.52
736.51	441.30
739.15	443.48
737.51	443.91
735.61	440.86
739.02	441.93
741.57	442.01
742.28	441.58
739.25	441.28
737.96	442.29
736.22	442.35
736.65	443.49
734.37	441.79
734.30	443.09
735.19	442.46
733.11	440.35
735.34	439.96
736.37	439.63
734.31	441.54
735.98	444.86
741.45	444.91
737.50	443.52
739.12	443.88
741.29	444.19
739.54	446.17
735.40	445.20
737.92	445.94
739.70	442.82
740.14	444.29
741.90	446.19
744.21	446.31
742.12	446.25
737.81	446.08
737.20	444.42
741.20	447.48
743.56	446.70
743.21	445.53
741.99	446.02
740.01	446.52
740.88	445.98
740.99	445.38
744.06	445.84
745.20	446.62
745.03	445.68
744.32	445.91
744.17	446.25
744.13	446.52
744.54	445.19
743.20	444.24
