Object Tracking Data File Thu, Feb 09, 2023 3:47 PM
X (pixels)  	Y (pixels)  
482.59	413.82
481.50	413.31
484.12	412.93
483.80	414.12
483.70	414.95
483.61	415.73
481.69	416.59
483.20	415.96
483.50	417.21
486.01	416.50
485.57	419.10
487.89	423.99
488.65	424.47
489.11	424.29
487.36	424.84
487.72	425.12
489.78	423.79
489.06	423.05
487.39	419.03
488.58	420.23
485.63	421.66
487.77	417.25
486.42	419.58
489.36	419.58
488.78	421.38
487.30	419.37
487.32	419.59
489.25	421.07
489.32	419.38
493.13	419.79
492.17	420.56
490.02	420.46
492.26	420.23
492.24	419.86
492.35	417.69
491.89	416.35
491.48	417.17
489.64	417.18
488.82	419.55
489.23	415.84
490.02	416.35
484.92	414.21
485.06	416.66
483.23	417.06
484.21	418.88
483.06	417.05
483.51	421.05
485.56	422.94
486.48	424.71
484.38	423.87
487.39	425.87
486.03	426.26
485.28	425.08
485.55	426.54
484.50	425.52
480.46	423.70
480.06	422.14
478.81	419.40
478.19	419.08
476.81	421.05
479.37	420.63
478.21	421.78
477.84	421.29
485.62	423.92
486.54	427.39
486.12	426.46
487.25	426.80
486.47	426.00
485.79	426.65
486.74	425.46
487.17	426.49
486.37	425.89
486.64	425.00
486.39	425.49
486.41	426.01
487.90	425.03
486.00	422.34
487.06	423.55
485.53	420.25
485.69	419.36
484.48	417.50
484.95	420.87
490.87	419.02
489.14	421.04
490.02	424.34
492.50	426.15
491.05	425.26
491.95	425.55
495.12	424.46
495.39	424.03
494.95	421.36
493.54	419.10
493.05	417.50
491.96	416.96
491.31	414.82
492.69	417.20
494.42	419.62
493.35	417.52
493.74	417.52
492.81	417.86
491.89	417.44
489.57	416.54
489.69	416.94
489.39	416.06
491.84	418.92
489.95	418.44
488.61	415.26
488.75	417.48
487.67	415.43
489.97	415.74
490.45	416.36
491.50	418.76
490.77	419.58
487.61	417.29
488.66	416.85
488.59	416.59
485.13	416.87
485.39	415.92
485.42	415.59
485.21	416.02
