Object Tracking Data File Thu, Feb 09, 2023 3:39 PM
X (pixels)  	Y (pixels)  
699.78	459.85
700.98	461.89
701.35	463.08
703.34	464.26
702.10	465.98
701.89	468.05
703.76	464.67
704.58	464.50
702.17	466.14
702.31	466.74
702.87	468.59
705.35	471.78
705.01	470.10
703.32	472.55
706.89	476.44
705.28	475.77
705.91	477.44
705.44	476.67
708.52	475.70
708.32	471.87
706.70	472.49
705.35	472.76
707.70	472.62
708.23	472.17
709.38	470.91
709.93	469.70
712.90	471.29
713.86	474.11
715.04	475.35
719.29	476.62
717.98	474.50
717.71	474.58
719.68	474.67
719.75	475.30
722.34	470.81
722.27	473.00
722.06	477.46
722.94	479.19
715.21	477.00
716.96	475.43
715.39	476.86
715.73	477.10
718.90	480.06
720.86	477.52
722.98	477.89
720.05	475.56
717.29	477.16
716.18	475.87
715.60	476.41
718.52	477.82
720.64	481.28
720.12	480.83
722.50	479.04
724.27	480.48
723.38	480.70
721.16	480.82
722.43	478.41
723.47	477.27
723.52	478.26
723.04	477.12
722.09	476.75
721.34	478.40
719.34	479.72
717.31	482.51
716.01	484.07
718.21	486.24
716.74	486.70
715.90	485.69
715.22	488.13
714.26	485.71
716.92	487.24
719.45	485.98
719.65	483.45
720.38	481.19
722.02	482.80
723.20	482.21
724.02	482.78
724.25	483.09
720.72	480.66
721.22	480.66
723.81	483.58
722.65	484.47
723.79	484.40
721.35	482.62
725.26	483.56
731.98	485.40
734.97	483.25
730.88	482.50
734.78	483.18
739.56	481.88
742.63	481.02
743.23	482.04
740.04	482.54
738.00	481.66
740.03	483.34
738.26	481.25
733.51	480.66
734.42	481.54
732.24	481.28
730.95	478.72
731.67	480.81
728.73	478.55
728.71	481.23
730.18	483.85
729.35	482.93
729.15	484.70
729.22	482.47
731.17	482.48
728.29	479.71
727.27	478.64
723.45	479.73
727.64	480.81
728.47	480.86
726.24	484.56
727.77	486.01
731.36	481.80
736.43	479.33
740.51	479.64
739.90	479.52
739.42	481.25
