Object Tracking Data File Thu, Feb 09, 2023 3:41 PM
X (pixels)  	Y (pixels)  
559.66	298.12
559.37	300.39
561.78	298.84
563.30	297.17
564.47	298.48
561.37	296.39
573.36	249.54
561.20	295.28
594.56	249.51
593.47	250.55
564.84	288.56
558.54	289.92
555.59	293.15
555.28	293.17
555.96	292.30
556.56	292.44
556.28	291.49
558.53	289.46
550.33	218.59
553.28	270.80
558.06	290.47
556.93	293.89
560.66	294.68
560.05	293.88
557.32	290.76
592.99	248.76
561.20	295.08
560.63	295.13
559.43	294.41
558.99	290.97
560.05	289.59
562.49	290.07
562.97	290.43
562.78	288.33
566.90	287.28
567.19	291.16
564.40	289.97
567.07	291.58
568.02	293.85
570.52	291.84
569.70	293.20
568.93	289.84
568.70	287.56
568.74	291.28
568.36	291.76
567.02	293.12
562.98	292.61
565.28	291.83
569.45	293.45
570.08	294.38
565.78	295.72
565.84	295.97
564.68	298.90
562.63	299.12
564.08	299.12
563.40	298.75
564.02	299.65
561.52	300.25
559.94	300.12
555.55	299.53
556.17	299.81
555.81	298.64
558.59	298.89
558.80	297.86
557.43	298.13
592.33	249.81
593.20	247.49
559.74	292.78
553.47	291.65
552.25	294.49
583.52	246.33
586.64	247.44
551.22	292.44
551.75	290.89
548.68	291.95
550.56	289.47
550.68	289.34
549.79	290.96
551.09	290.31
550.19	290.41
549.63	291.14
551.10	288.35
551.15	292.25
550.19	291.44
585.12	241.56
552.77	291.24
550.02	290.77
549.35	293.14
549.96	293.33
550.05	295.43
548.68	295.76
547.94	295.37
547.97	292.33
548.76	294.10
546.42	292.97
548.12	292.08
547.10	288.78
547.34	288.19
548.03	288.06
547.99	289.26
548.63	290.04
548.13	290.48
548.61	290.88
547.48	291.37
549.53	293.29
550.00	292.24
551.40	292.97
551.46	294.41
555.01	291.68
554.31	289.40
557.36	285.86
546.02	219.84
555.94	269.87
558.39	285.39
558.81	286.45
558.80	284.74
558.91	285.69
558.96	285.61
559.00	285.99
557.42	285.38
