Object Tracking Data File Thu, Feb 09, 2023 3:29 PM
X (pixels)  	Y (pixels)  
730.08	413.31
733.93	407.55
730.37	408.14
724.95	407.09
729.19	410.76
730.83	408.10
730.45	411.58
733.61	406.05
733.06	406.35
736.16	404.32
735.31	400.24
735.49	403.25
736.02	404.82
739.21	404.49
741.35	400.41
737.75	401.95
739.39	399.02
742.18	400.59
742.48	405.75
742.66	403.89
739.84	399.94
736.94	401.68
737.73	399.15
742.84	403.61
744.08	403.37
740.63	402.95
742.56	401.19
741.56	402.99
742.57	406.26
740.95	410.08
745.49	407.70
744.56	410.54
748.87	409.78
749.06	412.63
752.54	409.98
754.28	408.18
756.67	406.09
756.71	406.12
759.18	407.95
763.27	413.17
762.68	416.40
768.56	417.55
770.23	416.88
773.09	415.69
777.34	414.72
779.56	411.08
779.40	408.26
780.32	406.30
782.44	403.54
785.88	402.60
783.73	403.62
783.84	401.50
784.13	398.00
782.68	397.30
780.08	394.35
773.73	393.61
776.50	393.68
773.43	399.30
775.56	395.80
777.74	391.48
782.72	393.05
783.76	393.65
786.43	390.61
785.90	393.17
783.64	396.05
784.03	392.36
785.48	391.38
788.32	394.77
787.69	395.04
785.91	394.31
786.06	390.58
788.71	385.24
791.90	385.39
793.91	387.31
787.46	391.00
791.30	395.39
793.98	397.13
795.30	403.40
796.30	402.14
796.87	400.94
799.61	403.30
800.04	403.59
799.36	405.61
801.60	399.19
802.01	396.69
804.53	400.21
800.32	400.41
797.54	399.32
792.82	400.13
795.35	400.84
798.06	403.92
802.88	403.67
804.82	410.83
800.00	406.98
805.12	411.45
800.14	410.36
801.59	412.98
801.57	412.88
798.00	410.82
795.69	407.21
794.76	410.44
798.29	409.48
799.02	405.24
797.80	405.37
797.72	405.99
801.96	406.19
799.85	405.59
799.35	405.79
804.08	406.73
809.54	407.35
808.01	411.65
811.77	409.54
808.67	411.41
808.24	409.74
806.08	417.87
805.25	420.36
802.50	416.38
800.29	422.55
798.46	423.39
804.71	422.32
