Object Tracking Data File Thu, Feb 09, 2023 3:32 PM
X (pixels)  	Y (pixels)  
738.17	445.86
737.31	445.58
740.33	443.61
739.79	440.67
741.38	442.72
742.21	437.85
742.90	436.48
744.89	437.31
744.50	439.93
748.06	440.14
745.00	438.90
740.39	442.16
741.37	442.35
743.46	444.37
742.83	443.11
746.68	442.42
743.72	445.87
742.96	446.15
744.82	445.91
744.34	441.06
742.95	438.60
744.87	442.51
746.83	443.20
750.67	443.80
747.38	448.31
751.87	443.52
753.15	446.78
752.89	444.56
754.56	445.31
754.33	444.63
753.73	444.88
753.77	446.82
751.73	446.50
748.10	445.68
747.27	443.29
747.63	440.62
751.42	443.10
750.92	442.22
748.18	442.29
745.66	440.95
746.54	445.60
746.48	444.93
741.20	442.25
739.37	440.47
742.30	437.40
743.26	437.37
744.44	436.70
744.08	436.95
744.29	435.88
745.75	435.23
745.96	439.63
740.45	437.87
739.76	439.60
739.04	442.12
742.97	445.93
746.08	445.10
746.47	444.49
745.60	444.44
745.28	443.21
747.93	440.76
746.62	443.61
746.31	445.02
748.38	443.45
745.10	450.29
739.31	452.32
736.93	451.01
737.40	448.90
740.24	449.11
739.00	450.43
742.12	454.66
740.62	454.79
740.46	454.21
738.37	451.34
737.64	450.57
737.44	448.80
740.40	450.38
734.80	447.70
739.45	449.09
740.00	452.26
742.69	452.48
740.79	446.75
738.86	451.07
741.78	453.07
742.46	455.01
736.69	454.95
736.44	453.96
739.84	455.39
737.06	453.66
740.61	454.09
746.50	456.52
743.01	458.32
747.23	460.45
746.74	464.17
749.80	461.28
750.81	462.13
752.17	462.78
753.01	462.21
754.86	464.91
758.47	460.85
757.03	454.74
759.35	457.37
757.31	454.89
754.51	456.61
756.15	458.85
757.28	458.85
754.31	455.90
753.83	456.55
750.94	455.14
752.83	450.78
753.19	451.08
757.18	451.88
758.98	452.93
761.19	454.59
760.29	455.21
763.44	454.65
760.97	456.15
761.39	456.06
767.61	453.98
760.05	453.29
760.09	448.73
