0,27
5,27
10,27
15,28
20,28
25,29
30,30
35,31
40,32
45,34
50,35
55,37
60,39
65,40
70,42
75,44
80,45
85,47
90,47
95,47
100,48
105,48
110,47
115,46
120,45
125,44
130,43
135,42
140,41
145,40
150,40
155,40
160,40
165,40
170,42
175,43
180,44
185,45
190,46
195,48
200,49
205,50
210,51
215,51
220,51
225,50
230,49
235,48
240,47
245,46
250,45
255,44
260,43
265,42
270,41
275,41
280,42
285,43
290,43
295,44
300,45
305,46
310,47
315,48
320,49
325,50
330,50
335,49
340,49
345,48
350,47
355,46
360,45
365,44
370,43
375,42
380,41
385,40
390,40
395,40
400,40
405,41
410,42
415,43
420,44
425,45
430,45
435,46
440,47
445,48
450,49
455,49
