0,27
5,27
10,27
15,28
20,29
25,30
30,32
35,33
40,35
45,37
50,39
55,40
60,43
65,45
70,47
75,49
80,50
85,53
90,54
95,55
100,58
105,59
110,60
115,61
120,62
125,63
130,64
135,64
140,64
145,63
150,62
155,62
160,60
165,59
170,57
175,56
180,55
185,53
190,52
195,50
200,49
205,47
210,45
215,44
220,43
225,42
230,40
235,39
240,39
245,39
250,40
255,41
260,42
265,44
270,45
275,47
280,48
285,50
290,52
295,54
300,55
305,56
310,58
315,59
320,60
325,61
330,62
335,63
340,64
345,64
350,65
355,64
360,63
365,62
370,61
375,60
380,58
385,57
390,55
395,54
400,52
405,51
410,49
415,48
420,46
425,45
430,43
435,42
440,41
445,40
450,40
455,40
460,40
465,41
470,43
475,44
480,45
485,47
490,49
495,50
500,52
505,54
510,55
515,57
520,58
525,59
530,61
535,62
540,63
545,64
550,65
555,65
560,64
565,64
570,63
575,62
580,61
585,60
590,58
595,57
600,55
605,54
610,53
615,51
620,50
625,48
630,46
635,45
640,44
645,43
650,42
655,41
660,40
665,40
670,41
675,42
680,43
685,44
690,45
695,47
700,49
705,50
710,52
715,53
720,55
725,56
730,58
735,59
