0,30,90
5,32,90
10,34,90
15,36,90
20,39,90
25,40,90
30,43,90
35,45,90
40,47,90
45,49,90
50,51,90
55,53,90
60,55,90
65,56,90
70,59,90
75,60,90
80,61,90
85,63,90
90,65,90
95,67,0
100,68,0
105,69,0
110,70,0
115,69,0
120,70,0
125,70,0
130,70,0
135,70,0
140,69,0
145,69,0
150,68,0
155,67,0
160,65,0
165,63,0
170,61,0
175,60,0
180,57,90
185,56,90
190,54,90
195,52,90
200,50,90
205,48,90
210,46,90
215,45,90
220,46,90
225,47,90
230,47,90
235,47,90
240,48,90
245,50,90
250,51,90
255,52,90
260,54,90
265,55,90
270,58,0
275,60,0
280,60,0
285,60,0
290,62,0
295,64,0
300,65,0
305,66,0
310,65,0
315,65,0
320,65,0
325,65,0
330,64,0
335,63,0
340,61,0
345,59,0
350,58,0
355,56,0
360,54,90
365,52,90
370,51,90
375,50,90
380,48,90
385,46,90
390,45,90
395,44,90
400,44,90
405,44,90
410,44,90
415,45,90
420,46,90
425,48,90
430,49,90
435,50,90
440,52,90
445,54,90
450,55,0
455,57,0
460,59,0
465,60,0
470,61,0
475,62,0
480,63,0
485,64,0
490,65,0
495,65,0
500,64,0
505,63,0
510,62,0
515,60,0
520,60,0
525,58,0
530,56,0
535,54,0
540,52,0
545,50,90
550,49,90
555,48,90
560,47,90
565,45,90
570,44,90
575,43,90
580,43,90
585,43,90
590,45,90
595,47,90
600,50,90
605,51,90
610,53,90
615,55,90
620,56,90
625,58,90
630,59,0
635,60,0
640,61,0
645,63,0
650,64,0
655,64,0
660,64,0
665,64,0
670,63,0
675,62,0
680,60,0
685,60,0
690,58,0
695,56,0
700,55,0
